KBJD,raw_ap_chosen,post_decorr_ap_chosen,final_ap_chosen,err_ap_chosen,raw_ap_0,post_decorr_ap_0,final_ap_0,err_ap_0,raw_ap_1,post_decorr_ap_1,final_ap_1,err_ap_1,raw_ap_2,post_decorr_ap_2,final_ap_2,err_ap_2,raw_ap_3,post_decorr_ap_3,final_ap_3,err_ap_3,raw_ap_4,post_decorr_ap_4,final_ap_4,err_ap_4,raw_ap_5,post_decorr_ap_5,final_ap_5,err_ap_5,raw_ap_6,post_decorr_ap_6,final_ap_6,err_ap_6
2061.85746873,14.71456,14.86784,15.084008211402535,0.0033,14.71456,14.86784,15.084008211402535,0.0033,14.4382,14.47104,14.626858115369794,0.00283,14.20332,14.26599,14.264682793279674,0.00253,13.99414,13.89412,13.766724227804257,0.0023,13.82426,13.68541,13.743373474698755,0.00216,13.68849,13.47636,13.446427391350948,0.00209,13.58664,13.42006,13.44222009558948,0.00207
2061.87790081,14.98346,15.1431,15.248354437280927,0.00426,14.98346,15.1431,15.248354437280927,0.00426,14.72287,14.73716,14.742799005090799,0.00372,14.5016,14.53736,14.553781434412992,0.00336,14.30228,14.17238,14.191281904432422,0.00309,14.13859,13.96719,14.222487806333733,0.00292,14.00694,13.75745,13.880765753473934,0.00283,13.90858,13.70932,13.694105800154098,0.00281
2061.89833308,15.26549,15.44074,15.350857184619183,0.00527,15.26549,15.44074,15.350857184619183,0.00527,15.02414,15.08883,15.138885595415545,0.00467,14.81952,14.9305,14.743624828776907,0.00429,14.63309,14.59744,14.541195648513229,0.00399,14.47814,14.40561,14.41049648197578,0.0038,14.35231,14.19544,14.336717537575776,0.00371,14.25853,14.15218,13.67783525954048,0.0037
2061.91876526,15.54925,15.73631,15.804133719732228,0.00721,15.54925,15.73631,15.804133719732228,0.00721,15.33863,15.37266,15.413730194840552,0.00657,15.15898,15.22165,15.113312006352867,0.00617,14.99128,14.90857,14.900102449527814,0.00585,14.84761,14.72401,14.838687220918636,0.00563,14.72841,14.51805,14.540275374299958,0.00553,14.64038,14.48362,14.45515328531689,0.00554
2061.93919743,15.82486,15.9912,15.922927148627688,0.00916,15.82486,15.9912,15.922927148627688,0.00916,15.64997,15.66238,15.791890329223396,0.00862,15.50533,15.54795,15.342741138778377,0.00836,15.36698,15.23254,15.314824552326572,0.00814,15.24461,15.06703,15.151847727817808,0.00799,15.14035,14.86623,14.994399819317412,0.00796,15.06451,14.85354,14.786002977885728,0.00807
2061.95962961,16.14924,16.38588,16.315888999756822,0.01114,16.14924,16.38588,16.315888999756822,0.01114,16.01382,16.20715,16.281822741297173,0.01088,15.91274,16.20696,16.122915328958435,0.01097,15.81308,16.02722,16.22158915806859,0.01107,15.72041,15.90796,16.02946425444453,0.01116,15.63942,15.72822,15.910703171099106,0.01136,15.58357,15.72054,15.675416798471625,0.01174
2061.98006178,16.4665,16.67407,16.61893987520321,0.01565,16.4665,16.67407,16.61893987520321,0.01565,16.41494,16.51686,16.556307763344787,0.01651,16.40817,16.57828,16.462038683210814,0.01817,16.402,16.44269,16.691015434421836,0.01997,16.38454,16.38995,16.495783523391612,0.02158,16.35999,16.26059,16.476398900189388,0.02315,16.35564,16.31593,16.09549192604846,0.02509
2062.00049405,16.90242,17.09329,17.03465444242766,0.02325,16.90242,17.09329,17.03465444242766,0.02325,17.01221,17.05574,17.184426153065814,0.02845,17.24099,17.33212,17.38915334422582,0.0389,17.55815,17.4871,17.65006354622647,0.05759,17.91644,17.80406,17.872972588159357,0.08802,18.32058,18.09744,18.240287738314773,0.14011,18.99939,18.84452,18.79889305517206,0.285
2062.02092612,17.54478,17.78746,17.606186915989408,0.0407,17.54478,17.78746,17.606186915989408,0.0407,18.17823,18.35288,18.212641061756056,0.08067,,,,,,,,,,,,,,,,,,,,
2062.0413583,18.81367,19.05936,18.908826065420833,0.13012,18.81367,19.05936,18.908826065420833,0.13012,,,,,,,,,,,,,,,,,,,,,,,,
