System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
OGLE-LMC-ECL-21873,144.188,16.79,G4_III,2.984 ± 0.021,20.26 ± 0.22,2.300 ± 0.009,3.721 ± 0.006,2.453 ± 0.026,-0.28,,,1.06,G6_III,3.093 ± 0.024,24.67 ± 0.24,2.144 ± 0.008,3.704 ± 0.007,2.554 ± 0.029,± 0.12,
OGLE-LMC-ECL-09660,167.796,16.27,G3_III,2.981 ± 0.013,23.66 ± 0.21,2.165 ± 0.008,3.720 ± 0.005,2.583 ± 0.023,-0.46,,,1.19,K0_III,2.997 ± 0.012,44.40 ± 0.26,1.620 ± 0.005,3.671 ± 0.009,2.932 ± 0.036,± 0.10,
OGLE-LMC-ECL-18836,182.553,17.43,G5_III,2.858 ± 0.031,15.95 ± 0.25,2.489 ± 0.013,3.712 ± 0.008,2.210 ± 0.038,-0.4,,,1.29,K1_III,2.784 ± 0.036,30.87 ± 0.33,1.904 ± 0.009,3.663 ± 0.008,2.587 ± 0.032,± 0.10,
OGLE-LMC-ECL-13529,49.467,17.36,G4_III,2.857 ± 0.016,17.03 ± 0.21,2.432 ± 0.011,3.724 ± 0.006,2.312 ± 0.028,-0.18,,,1.01,G4_III,2.810 ± 0.016,15.98 ± 0.22,2.480 ± 0.012,3.721 ± 0.007,2.246 ± 0.032,± 0.14,
V348 And,27.703,6.6,B9_V,2.81 ± 0.04,2.42 ± 0.03,4.12 ± 0.02,4.02 ± 0.02,,,,,0.11,none,2.69 ± 0.04,2.34 ± 0.03,4.13 ± 0.02,4.02 ± 0.02,,,
V402 Lac,3.782,6.73,B8_V,2.80 ± 0.05,2.38 ± 0.03,4.132 ± 0.013,4.054 ± 0.010,1.93 ± 0.04,,,,-0.04,B8_V,2.78 ± 0.05,2.36 ± 0.03,4.136 ± 0.014,4.052 ± 0.009,1.91 ± 0.04,,
V451 Oph,2.197,7.87,B9_V,2.776 ± 0.063,2.640 ± 0.031,4.038 ± 0.015,4.033 ± 0.032,1.93 ± 0.13,,,,-0.08,A0_V,2.356 ± 0.052,2.028 ± 0.028,4.196 ± 0.015,3.991 ± 0.022,1.53 ± 0.09,,
PV Cas,1.75,9.74,B9.5_V,2.76 ± 0.06,2.256 ± 0.016,4.17 ± 0.02,4.008 ± 0.010,1.69 ± 0.04,,,,0.17,B9.5_V,2.81 ± 0.05,2.297 ± 0.021,4.17 ± 0.02,4.008 ± 0.010,1.71 ± 0.04,,
OGLE-LMC-ECL-24887,94.844,17.68,G5_III,2.747 ± 0.047,16.43 ± 0.26,2.446 ± 0.014,3.710 ± 0.007,2.225 ± 0.031,-0.22,,,1.16,G6_III,2.976 ± 0.045,17.83 ± 0.30,2.409 ± 0.014,3.705 ± 0.007,2.276 ± 0.032,± 0.12,
OGLE-SMC-ECL-1421,102.834,17.18,G2_III,2.72 ± 0.02,17.7 ± 0.3,2.37 ± 0.01,3.732 ± 0.008,2.380 ± 0.034,-1.05,,,0.77,G6_III,2.85 ± 0.02,23.8 ± 0.2,2.14 ± 0.01,3.701 ± 0.008,2.512 ± 0.033,± 0.11,
