System,Period (days),V,Spectral type,Mass (Msun),Radius (Rsun),Surface gravity (cgs),log Teff (K),log (L/Lsun),[M/H],,,B-V,Sec Spectral type,Sec Mass (Msun ),Sec Radius (Rsun),Sec Surface gravity (cgs),Sec Log Teff (K),Sec log (L/Lsun),(dex),
V1143 Cyg,7.641,5.89,F5_V,1.361 ± 0.004,1.348 ± 0.016,4.31 ± 0.03,3.821 ± 0.013,0.53 ± 0.06,,,,0.47,F5_V,1.332 ± 0.004,1.322 ± 0.016,4.32 ± 0.04,3.818 ± 0.015,0.50 ± 0.07,,
ASAS J171750-1915.3,3.137,10.99,none,1.3571 ± 0.0026,1.676 ± 0.007,4.122 ± 0.003,3.815 ± 0.009,,0.04,,,0.64,none,1.3452 ± 0.0032,1.648 ± 0.006,4.133 ± 0.003,3.813 ± 0.009,,± 0.12,
RU Cnc,10.173,10.2,none,1.347 ± 0.011,2.188 ± 0.042,3.888 ± 0.017,3.817 ± 0.006,,-0.26,,,0.6,none,1.415 ± 0.007,4.939 ± 0.073,3.202 ± 0.013,3.678 ± 0.013,,± 0.34,
AQ Ser,1.687,10.65,F5_IV,1.346 ± 0.024,2.281 ± 0.014,3.850 ± 0.009,3.808 ± 0.007,0.901 ± 0.027,,,,0.51,F6_IV,1.417 ± 0.022,2.451 ± 0.027,3.810 ± 0.012,3.802 ± 0.007,0.939 ± 0.042,,
RT CrB,5.117,10.21,G5_IV,1.343 ± 0.010,2.615 ± 0.044,3.731 ± 0.014,3.762 ± 0.008,0.838 ± 0.032,,,,0.73,K0_IV,1.359 ± 0.009,2.946 ± 0.051,3.632 ± 0.015,3.710 ± 0.009,0.736 ± 0.036,,
UZ Dra,3.261,9.59,F7_V,1.34 ± 0.02,1.31 ± 0.03,4.33 ± 0.03,3.793 ± 0.008,0.35 ± 0.05,,,,0.47,G0_V,1.23 ± 0.02,1.15 ± 0.02,4.40 ± 0.03,3.777 ± 0.008,0.18 ± 0.05,,
IT Cas,3.897,11.15,F5_V,1.330 ± 0.009,1.593 ± 0.015,4.158 ± 0.009,3.811 ± 0.007,0.601 ± 0.035,,,,0.5,F5_V,1.328 ± 0.008,1.56 ± 0.04,4.175 ± 0.020,3.811 ± 0.007,0.583 ± 0.047,,
ASAS J085002+1752.5,5.226,10.15,none,1.326 ± 0.003,1.571 ± 0.025,4.168 ± 0.014,3.817 ± 0.014,,-0.01,,,0.72,none,1.573 ± 0.003,3.222 ± 0.042,3.619 ± 0.011,3.758 ± 0.018,,± 0.27,
NP Per,2.229,11.24,F5_V,1.3207 ± 0.0087,1.372 ± 0.013,4.2840 ± 0.0080,3.808 ± 0.006,0.460 ± 0.025,+0.02,,,0.7,K5_e,1.0456 ± 0.0046,1.229 ± 0.013,4.2779 ± 0.0089,3.657 ± 0.015,-0.237 ± 0.058,± 0.08,
FM Leo,6.729,8.47,F6_V,1.3144 ± 0.0005,1.6245 ± 0.0021,4.135 ± 0.001,3.806 ± 0.004,0.600 ± 0.015,-0.11,,,0.49,F6_V,1.2703 ± 0.0004,1.5082 ± 0.0029,4.185 ± 0.001,3.805 ± 0.004,0.533 ± 0.015,± 0.04,
ASAS J051753-5406.0,26.132,10.45,none,1.311 ± 0.035,1.935 ± 0.020,3.982 ± 0.006,3.777 ± 0.015,0.635 ± 0.059,-0.1,,,0.41,none,1.093 ± 0.029,1.181 ± 0.014,4.332 ± 0.008,3.767 ± 0.014,0.168 ± 0.060,± 0.13,
KIC 8430105,63.327,10.67,none,1.31 ± 0.02,7.65 ± 0.05,2.788 ± 0.004,3.703 ± 0.006,,-0.49,,,0.93,none,0.83 ± 0.01,0.770 ± 0.05,4.584 ± 0.012,3.761 ± 0.006,,± 0.04,
TIC 193993801,1.431,11.27,F8_V,1.306 ± 0.015,1.692 ± 0.014,4.098 ± 0.006,3.801 ± 0.003,0.614 ± 0.013,,,,0.67,none,1.189 ± 0.018,1.304 ± 0.017,4.245 ± 0.011,3.785 ± 0.003,0.323 ± 0.018,,
V1130 Tau,0.799,6.56,F2_V,1.306 ± 0.008,1.489 ± 0.010,4.208 ± 0.006,3.822 ± 0.005,0.59 ± 0.02,-0.25,,,0.36,F2_V,1.392 ± 0.008,1.782 ± 0.011,4.080 ± 0.006,3.821 ± 0.005,0.74 ± 0.02,± 0.10,
CO And,3.655,10.83,F8_V,1.2892 ± 0.0073,1.727 ± 0.021,4.074 ± 0.011,3.788 ± 0.009,0.580 ± 0.038,0.01,,,0.52,F8_V,1.2643 ± 0.0073,1.694 ± 0.017,4.0822 ± 0.0089,3.790 ± 0.009,0.572 ± 0.038,± 0.15,
V455 Aur,3.146,7.28,F5_V,1.2887 ± 0.0063,1.389 ± 0.011,4.2626 ± 0.0070,3.813 ± 0.013,0.492 ± 0.054,,,,0.43,F6_V,1.2316 ± 0.0050,1.318 ± 0.014,4.2887 ± 0.0089,3.806 ± 0.013,0.419 ± 0.055,,
V375 Cep,1.91,16.12,none,1.288 ± 0.017,1.623 ± 0.006,4.129 ± 0.007,3.794 ± 0.003,,0.09,,,0.88,none,0.871 ± 0.008,0.897 ± 0.003,4.473 ± 0.002,3.703 ± 0.015,,± 0.05,
V1061 Cyg,2.347,9.24,F9_V,1.282 ± 0.015,1.615 ± 0.017,4.129 ± 0.011,3.791 ± 0.007,0.533 ± 0.030,,,,0.54,G8_V,0.9315 ± 0.0068,0.974 ± 0.020,4.430 ± 0.018,3.724 ± 0.012,-0.173 ± 0.052,,
CF Tau,2.756,10.25,K0,1.282 ± 0.009,2.797 ± 0.011,3.653 ± 0.005,3.716 ± 0.013,0.71 ± 0.05,,,,0.95,G0,1.251 ± 0.011,2.048 ± 0.016,3.913 ± 0.008,3.778 ± 0.011,0.69 ± 0.05,,
KIC 7821010,24.238,10.84,none,1.277 ± 0.017,1.276 ± 0.011,4.332 ± 0.007,3.827 ± 0.010,0.47 ± 0.04,0.1,,,0.56,none,1.221 ± 0.016,1.210 ± 0.014,4.359 ± 0.009,3.817 ± 0.011,0.39 ± 0.05,± 0.08,
AP And,1.587,11.19,F5_V,1.2770 ± 0.0044,1.2335 ± 0.0062,4.3623 ± 0.0044,3.817 ± 0.010,0.403 ± 0.040,,,,0.44,F5_V,1.2510 ± 0.0042,1.1954 ± 0.0053,4.3805 ± 0.0038,3.813 ± 0.010,0.358 ± 0.039,,
V505 Per,4.222,6.88,F5_V,1.2745 ± 0.0036,1.2941 ± 0.0016,4.3194 ± 0.0010,3.814 ± 0.003,0.434 ± 0.013,,,,0.42,F5_V,1.2577 ± 0.0030,1.2637 ± 0.0017,4.3343 ± 0.0010,3.810 ± 0.013,0.399 ± 0.013,,
VZ Hya,2.904,8.95,F5_V,1.271 ± 0.006,1.314 ± 0.005,4.305 ± 0.005,3.809 ± 0.010,0.48 ± 0.04,-0.2,,,0.41,F6_V,1.146 ± 0.007,1.112 ± 0.007,4.405 ± 0.006,3.799 ± 0.010,0.24 ± 0.04,± 0.12,
V2154 Cyg,2.631,7.83,F3_V,1.269 ± 0.017,1.477 ± 0.012,4.2028 ± 0.0089,3.831 ± 0.010,0.616 ± 0.039,,,,0.4,K2_V,0.7542 ± 0.0059,0.7232 ± 0.0091,4.597 ± 0.012,3.701 ± 0.013,-0.523 ± 0.039,,
V501 Her,8.598,10.93,G3_IV,1.2690 ± 0.0035,2.0017 ± 0.0031,3.9384 ± 0.0014,3.755 ± 0.008,0.576 ± 0.030,,,,0.93,G3_V,1.2113 ± 0.0032,1.5112 ± 0.0027,4.1623 ± 0.0016,3.757 ± 0.008,0.344 ± 0.029,,
HS Hya,1.568,8.12,F5_V,1.2552 ± 0.0078,1.2747 ± 0.0072,4.3259 ± 0.0056,3.8129 ± 0.0033,0.415 ± 0.014,,,,0.41,F5_V,1.2186 ± 0.0070,1.2161 ± 0.0071,4.3539 ± 0.0057,3.8062 ± 0.0034,0.347 ± 0.015,,
KIC 5359678,6.231,14.21,F5,1.252 ± 0.018,1.449 ± 0.012,4.214 ± 0.007,3.813 ± 0.003,0.555 ± 0.014,,,,0.7,none,1.065 ± 0.013,1.048 ± 0.017,4.424 ± 0.013,3.777 ± 0.005,0.103 ± 0.025,,
EF Aqr,2.854,9.89,G0_V,1.244 ± 0.008,1.338 ± 0.012,4.280 ± 0.007,3.789 ± 0.006,0.360 ± 0.011,+0.00,,,0.72,none,0.946 ± 0.006,0.956 ± 0.012,4.453 ± 0.011,3.715 ± 0.009,-0.227 ± 0.020,± 0.10,
WOCS 40007,3.185,15.65,none,1.236 ± 0.020,1.399 ± 0.007,4.240 ± 0.005,3.795 ± 0.006,,-0.03,,,0.71,none,1.086 ± 0.018,1.098 ± 0.004,4.381 ± 0.004,3.775 ± 0.011,,± 0.06,
TIC 172900988,19.658,10.14,none,1.2277 ± 0.0009,1.3827 ± 0.0025,4.2492 ± 0.0016,3.782 ± 0.007,,0.34,,,0.55,none,1.2021 ± 0.0008,1.3141 ± 0.0013,4.2808 ± 0.0009,3.777 ± 0.007,,± +0.34,
WZ Oph,4.184,9.1,F8_V,1.227 ± 0.007,1.401 ± 0.012,4.234 ± 0.008,3.790 ± 0.007,0.41 ± 0.03,-0.27,,,0.5,F8_V,1.220 ± 0.006,1.419 ± 0.012,4.221 ± 0.008,3.786 ± 0.007,0.40 ± 0.03,± 0.07,
KIC 3439031,5.952,11.34,none,1.2258 ± 0.0024,1.4072 ± 0.0022,4.2300 ± 0.0013,3.815 ± 0.015,0.45 ± 0.06,0.1,,,0.48,none,1.2274 ± 0.0028,1.4030 ± 0.0025,4.2332 ± 0.0015,3.815 ± 0.015,0.45 ± 0.06,± 0.13,
UX Men,4.181,8.22,F8_V,1.2229 ± 0.0015,1.347 ± 0.013,4.272 ± 0.009,3.792 ± 0.007,0.38 ± 0.03,0.04,,,0.54,F8_V,1.1878 ± 0.0015,1.274 ± 0.013,4.306 ± 0.009,3.789 ± 0.007,0.32 ± 0.03,± 0.10,
Kepler 1647,11.259,13.7,none,1.2207 ± 0.0112,1.7903 ± 0.0055,4.0180 ± 0.0020,3.793 ± 0.007,,-0.14,,,0.66,none,0.9678 ± 0.0039,0.9663 ± 0.0057,4.4534 ± 0.0040,3.761 ± 0.009,,± 0.05,
FL Lyr,2.178,9.33,F8_V,1.2102 ± 0.0076,1.244 ± 0.023,4.331 ± 0.016,3.796 ± 0.008,0.330 ± 0.095,-0.07,,,0.52,G8_V,0.9512 ± 0.0039,0.900 ± 0.024,4.508 ± 0.023,3.740 ± 0.019,-0.180 ± 0.080,± 0.09,
LL Aqr,20.178,9.32,F3_V,1.1959 ± 0.0007,1.321 ± 0.006,4.274 ± 0.004,3.784 ± 0.003,0.332 ± 0.014,0.02,,,0.54,F8_V,1.0337 ± 0.0007,1.002 ± 0.005,4.451 ± 0.004,3.756 ± 0.004,-0.019 ± 0.016,± 0.04,
KIC 2306740,10.307,13.7,none,1.194 ± 0.008,1.682 ± 0.004,4.063 ± 0.002,3.764 ± 0.018,0.449 ± 0.075,,,,0.74,none,1.078 ± 0.007,1.226 ± 0.005,4.294 ± 0.004,3.782 ± 0.017,0.260 ± 0.072,,
AI Phe,24.592,8.61,K0_IV,1.1938 ± 0.0008,1.8050 ± 0.0022,4.0020 ± 0.0011,3.792 ± 0.002,0.654 ± 0.007,-0.14,,,0.83,F7_V,1.2438 ± 0.0008,2.9332 ± 0.0023,3.5981 ± 0.0009,3.707 ± 0.002,0.736 ± 0.006,± 0.10,
LV Her,18.436,11.06,F9_V,1.193 ± 0.010,1.358 ± 0.012,4.2493 ± 0.0082,3.793 ± 0.011,0.349 ± 0.044,0.08,,,0.78,F9_V,1.1698 ± 0.0081,1.313 ± 0.011,4.2695 ± 0.0081,3.780 ± 0.011,0.311 ± 0.044,± 0.21,
V2080 Cyg,4.934,7.404,F4_V,1.191 ± 0.017,1.596 ± 0.008,4.108 ± 0.003,3.778 ± 0.005,0.474 ± 0.022,,,,0.421,F4_V,1.157 ± 0.017,1.599 ± 0.008,4.093 ± 0.003,3.777 ± 0.005,0.472 ± 0.022,,
KIC 9970396,235.299,11.75,none,1.178 ± 0.015,8.035 ± 0.074,2.699 ± 0.011,3.687 ± 0.007,,-0.35,,,1.07,none,1.0030 ± 0.0085,1.1089 ± 0.0052,4.3493 ± 0.0054,3.794 ± 0.009,,± 0.10,
EW Ori,6.937,9.9,G0_V,1.173 ± 0.011,1.168 ± 0.005,4.372 ± 0.005,3.783 ± 0.007,0.22 ± 0.03,0.05,,,0.57,G2_V,1.123 ± 0.009,1.097 ± 0.005,4.408 ± 0.005,3.771 ± 0.007,0.12 ± 0.03,± 0.09,
KIC 7037405,207.108,12.22,none,1.170 ± 0.020,14.000 ± 0.093,2.2131 ± 0.0067,3.653 ± 0.008,,-0.27,,,1.13,none,1.110 ± 0.011,1.746 ± 0.014,3.9990 ± 0.0071,3.785 ± 0.010,,± 0.10,
AL Ari,3.747,7.23,F6_V,1.1640 ± 0.0013,1.372 ± 0.009,4.229 ± 0.005,3.804 ± 0.004,0.444 ± 0.016,-0.42,,,0.52,G7_V,0.9112 ± 0.0007,0.905 ± 0.008,4.458 ± 0.008,3.745 ± 0.005,-0.155 ± 0.019,± 0.08,
WASP 0639-32,11.658,10.66,F,1.1544 ± 0.0043,1.834 ± 0.023,3.974 ± 0.011,3.801 ± 0.003,0.685 ± 0.018,-0.33,,,0.5,K,0.7833 ± 0.0028,0.7291 ± 0.0081,4.607 ± 0.010,3.732 ± 0.006,-0.392 ± 0.028,± 0.10,
ASAS J061016-3321.3,199.857,9.71,K5_III,1.148 ± 0.031,12.34 ± 0.19,2.315 ± 0.014,3.632 ± 0.019,1.667 ± 0.074,0.08,,,1.48,K5_V,1.152 ± 0.012,33.32 ± 0.39,1.454 ± 0.010,3.583 ± 0.021,2.319 ± 0.092,± 0.10,
ZZ UMa,2.299,10.39,F8_V,1.142 ± 0.007,1.52 ± 0.02,4.135 ± 0.011,3.775 ± 0.005,0.42 ± 0.02,,,,0.54,G6_V,0.972 ± 0.007,1.16 ± 0.01,4.299 ± 0.007,3.722 ± 0.007,-0.03 ± 0.03,,
ASAS J231922-0852.2,6.062,10.24,none,1.136 ± 0.003,1.640 ± 0.009,4.064 ± 0.005,3.797 ± 0.003,,-0.39,,,0.46,none,1.006 ± 0.002,1.110 ± 0.023,4.350 ± 0.018,3.795 ± 0.007,,± 0.07,
KX Cnc,31.22,7.19,F9_V,1.1345 ± 0.0032,1.0527 ± 0.0056,4.4825 ± 0.0045,3.771 ± 0.007,0.083 ± 0.030,0.07,,,0.56,F9_V,1.1241 ± 0.0045,1.0593 ± 0.0051,4.4388 ± 0.0041,3.767 ± 0.007,0.071 ± 0.030,± 0.10,
HP Dra,10.762,7.94,F9_V,1.133 ± 0.005,1.371 ± 0.012,4.218 ± 0.010,3.778 ± 0.011,0.340 ± 0.044,,,,0.55,F9_V,1.094 ± 0.007,1.052 ± 0.010,4.433 ± 0.011,3.770 ± 0.011,0.079 ± 0.044,,
EPIC 219568666,11.991,11.86,F8_V,1.121 ± 0.013,1.178 ± 0.007,4.346 ± 0.005,3.788 ± 0.007,0.248 ± 0.028,+0.07,,,0.7,none,0.733 ± 0.005,0.640 ± 0.017,4.690 ± 0.022,3.653 ± 0.010,-0.818 ± 0.046,± 0.03,
WOCS 12009,69.728,13.99,none,1.111 ± 0.015,1.071 ± 0.009,4.424 ± 0.002,3.785 ± 0.007,,0.03,,,0.62,none,0.748 ± 0.005,0.713 ± 0.032,4.607 ± 0.038,3.673 ± 0.010,,± 0.04,
V785 Cep,6.504,14.74,none,1.103 ± 0.007,1.424 ± 0.019,4.174 ± 0.012,3.771 ± 0.007,0.34 ± 0.03,-0.06,,,0.6,none,1.081 ± 0.007,1.373 ± 0.019,4.196 ± 0.013,3.769 ± 0.007,0.30 ± 0.03,± 0.06,
AL Dor,14.905,7.74,F9_V,1.1018 ± 0.0006,1.0917 ± 0.0020,4.404 ± 0.002,3.782 ± 0.005,0.159 ± 0.018,-0.1,,,0.57,F9_V,1.1028 ± 0.0007,1.0983 ± 0.0020,4.399 ± 0.002,3.782 ± 0.005,0.164 ± 0.018,± 0.04,
V1094 Tau,8.989,8.97,G0_V,1.0965 ± 0.0040,1.4109 ± 0.0058,4.179 ± 0.004,3.767 ± 0.007,0.32 ± 0.03,,,,0.7,G3_V,1.0121 ± 0.0028,1.1063 ± 0.0066,4.355 ± 0.005,3.756 ± 0.008,0.05 ± 0.03,,
OGLE-BLG-ECL-296596,155.658,15.48,K6_III,1.093 ± 0.015,18.06 ± 0.28,1.963 ± 0.013,3.625 ± 0.014,1.964 ± 0.067,-0.07,,,1.26,K8_III,1.125 ± 0.014,29.80 ± 0.33,1.541 ± 0.011,3.599 ± 0.013,2.297 ± 0.060,± 0.15,
EPIC 210822691,8.074,11.37,none,1.09 ± 0.01,1.25 ± 0.01,4.286 ± 0.021,3.775 ± 0.009,0.245 ± 0.028,+0.00,,,0.59,none,0.96 ± 0.02,0.94 ± 0.01,4.473 ± 0.033,3.745 ± 0.012,-0.118 ± 0.038,± 0.05,
V568 Lyr,14.47,17.34,none,1.0868 ± 0.0039,1.397 ± 0.013,4.1840 ± 0.0078,3.752 ± 0.007,,0.28,,,0.94,none,0.8276 ± 0.0022,0.7813 ± 0.0053,4.5698 ± 0.0059,3.683 ± 0.013,,± 0.05,
V432 Aur,3.082,8.15,none,1.080 ± 0.014,1.230 ± 0.006,4.290 ± 0.008,3.825 ± 0.006,,-0.6,,,0.7,none,1.200 ± 0.018,2.460 ± 0.020,3.740 ± 0.010,3.784 ± 0.006,,± 0.05,
EPIC 219394517,6.527,11.34,G,1.0782 ± 0.0019,1.055 ± 0.011,4.4247 ± 0.0094,3.773 ± 0.007,0.091 ± 0.031,0.07,,,0.64,G,1.0661 ± 0.0024,1.042 ± 0.012,4.4303 ± 0.0097,3.769 ± 0.007,0.066 ± 0.031,± 0.03,
V636 Cen,4.284,8.7,G0_V,1.052 ± 0.005,1.018 ± 0.004,4.444 ± 0.004,3.771 ± 0.006,0.05 ± 0.03,-0.20,,,0.62,none,0.854 ± 0.003,0.830 ± 0.004,4.532 ± 0.005,3.699 ± 0.009,-0.41 ± 0.04,± 0.08,
Kepler-34,27.796,15.04,none,1.0479 ± 0.0032,1.1618 ± 0.0029,4.3284 ± 0.0021,3.772 ± 0.009,0.173 ± 0.033,-0.07,,,0.63,none,1.0208 ± 0.0022,1.0927 ± 0.0030,4.3703 ± 0.0022,3.768 ± 0.010,0.107 ± 0.036,± 0.15,
KIC 7177553,17.996,11.54,G2_V,1.043 ± 0.014,0.940 ± 0.005,4.517 ± 0.008,3.763 ± 0.010,-0.055 ± 0.040,-0.05,,,0.52,G2_V,0.986 ± 0.015,0.941 ± 0.005,4.491 ± 0.008,3.759 ± 0.011,-0.071 ± 0.041,± 0.09,
CV Boo,0.847,10.8,G2_V,1.032 ± 0.013,1.262 ± 0.023,4.294 ± 0.016,3.760 ± 0.011,0.197 ± 0.048,,,,0.5,G3_V,0.968 ± 0.012,1.173 ± 0.023,4.285 ± 0.017,3.754 ± 0.011,0.107 ± 0.049,,
EBLM J0113+31,14.277,10.12,G0_V,1.029 ± 0.025,1.417 ± 0.014,4.148 ± 0.006,3.787 ± 0.003,0.406 ± 0.014,-0.3,,,0.5,none,0.197 ± 0.003,0.215 ± 0.002,5.068 ± 0.006,3.528 ± 0.005,-2.267 ± 0.024,± 0.1,
V818 Tau,5.609,8.32,G8_V,1.0245 ± 0.0024,0.923 ± 0.015,4.518 ± 0.014,3.752 ± 0.004,,0.05,,,0.76,K4_V,0.7426 ± 0.0016,0.739 ± 0.026,4.571 ± 0.032,3.633 ± 0.010,,± 0.05,
V1174 Ori,2.635,13.95,K4.5_V,1.009 ± 0.015,1.339 ± 0.015,4.19 ± 0.01,3.650 ± 0.012,-0.193 ± 0.048,,,,1.24,M1.5_V,0.731 ± 0.008,1.065 ± 0.011,4.25 ± 0.01,3.558 ± 0.012,-0.761 ± 0.058,,
V530 Ori,6.111,9.96,G1_V,1.0038 ± 0.0066,0.980 ± 0.013,4.457 ± 0.012,3.777 ± 0.007,0.016 ± 0.032,-0.12,,,0.49,M1_V,0.5955 ± 0.0022,0.5873 ± 0.0067,4.676 ± 0.010,3.589 ± 0.013,-1.154 ± 0.053,± 0.08,
V565 Lyr,18.799,17.71,none,0.9955 ± 0.0033,1.1011 ± 0.0068,4.3524 ± 0.0053,3.748 ± 0.007,,0.28,,,0.93,none,0.9293 ± 0.0032,0.9708 ± 0.0053,4.4319 ± 0.0080,3.735 ± 0.010,,± 0.05,
KIC 8736245,5.069,13.95,G2_V,0.987 ± 0.009,1.311 ± 0.006,4.197 ± 0.006,3.764 ± 0.009,,,,,0.71,none,0.782 ± 0.009,0.804 ± 0.004,4.521 ± 0.008,3.702 ± 0.011,,,
IM Vir,1.309,9.57,G7_V,0.981 ± 0.012,1.061 ± 0.016,4.379 ± 0.014,3.754 ± 0.008,-0.012 ± 0.034,-0.10,,,0.66,K7_V,0.6644 ± 0.0048,0.681 ± 0.013,4.594 ± 0.017,3.628 ± 0.013,-0.867 ± 0.056,± 0.25,
OGLE-SMC-ECL-1492,73.715,17.71,G6_III,0.97 ± 0.01,15.9 ± 0.6,2.02 ± 0.03,3.697 ± 0.009,2.149 ± 0.046,-0.88,,,1.03,G8_III,0.97 ± 0.01,25.1 ± 0.3,1.63 ± 0.01,3.679 ± 0.006,2.468 ± 0.028,± 0.09,
Kepler-47,7.448,15.38,none,0.957 ± 0.014,0.936 ± 0.005,4.476 ± 0.005,3.751 ± 0.008,-0.076 ± 0.035,-0.25,,,0.85,none,0.342 ± 0.003,0.338 ± 0.002,4.914 ± 0.005,3.526 ± 0.013,-1.854 ± 0.062,± 0.08,
ASAS J065134-2211.5,8.22,9.83,G,0.956 ± 0.012,0.997 ± 0.004,4.421 ± 0.003,3.740 ± 0.008,-0.09 ± 0.03,+0.09,,,0.83,none,0.674 ± 0.005,0.690 ± 0.007,4.589 ± 0.009,3.599 ± 0.012,-0.96 ± 0.05,± 0.13,
Tyc 5227-1023-1,4.306,11.86,none,0.956 ± 0.016,1.388 ± 0.010,4.13 ± 0.01,3.803 ± 0.014,,-0.63,,,0.55,none,0.839 ± 0.012,0.977 ± 0.010,4.38 ± 0.01,3.773 ± 0.016,,± 0.11,
HP Aur,1.423,11.17,G2_V,0.9543 ± 0.0041,1.0278 ± 0.0042,4.3942 ± 0.0040,3.764 ± 0.009,0.036 ± 0.035,,,,0.68,K1_V,0.8094 ± 0.0036,0.7758 ± 0.0034,4.5669 ± 0.0043,3.713 ± 0.010,-0.414 ± 0.039,,
Kepler-453,27.322,13.7,none,0.944 ± 0.010,0.833 ± 0.011,4.571 ± 0.015,3.742 ± 0.008,,0.09,,,0.75,none,0.1951 ± 0.0020,0.2150 ± 0.0014,5.0630 ± 0.0050,3.509 ± 0.013,,± 0.10,
KIC 6131659,17.528,12.76,none,0.942 ± 0.010,0.903 ± 0.003,4.496 ± 0.005,3.716 ± 0.008,,-0.23,,,0.92,none,0.703 ± 0.008,0.616 ± 0.003,4.705 ± 0.006,3.617 ± 0.050,,± 0.20,
CG Cyg,0.631,10.08,G9_V,0.94 ± 0.012,0.89 ± 0.013,4.512 ± 0.014,3.721 ± 0.015,-0.26 ± 0.06,,,,0.86,K3_V,0.81 ± 0.013,0.84 ± 0.014,4.505 ± 0.016,3.674 ± 0.006,-0.51 ± 0.03,,
ASAS J045021+2300.4,1.653,10.26,none,0.934 ± 0.017,1.058 ± 0.023,4.360 ± 0.018,3.753 ± 0.005,,-0.26,,,0.73,none,0.409 ± 0.005,0.408 ± 0.009,4.829 ± 0.019,3.555 ± 0.012,,± 0.26,
RW Lac,10.369,10.63,G5_V,0.928 ± 0.006,1.186 ± 0.004,4.257 ± 0.003,3.760 ± 0.008,0.14 ± 0.03,-0.3,,,0.5,G7_V,0.870 ± 0.004,0.964 ± 0.004,4.409 ± 0.004,3.745 ± 0.012,-0.10 ± 0.05,,
EPIC 219511354,1.622,13.16,K2_V,0.912 ± 0.013,0.920 ± 0.016,4.470 ± 0.016,3.702 ± 0.013,-0.310 ± 0.053,+0.07,,,0.94,K4_V,0.822 ± 0.016,0.851 ± 0.016,4.494 ± 0.017,3.671 ± 0.012,-0.500 ± 0.052,± 0.03,
HS Aur,9.815,10.16,G8_V,0.900 ± 0.019,1.004 ± 0.024,4.389 ± 0.023,3.728 ± 0.006,-0.13 ± 0.03,,,,0.77,K0_V,0.879 ± 0.017,0.873 ± 0.024,4.500 ± 0.025,3.716 ± 0.006,-0.30 ± 0.03,,
Kepler-35,20.734,15.96,none,0.8877 ± 0.0052,1.0284 ± 0.0020,4.3623 ± 0.0020,3.749 ± 0.011,-0.027 ± 0.043,-0.34,,,0.66,none,0.8094 ± 0.0044,0.7861 ± 0.0021,4.5556 ± 0.0016,3.716 ± 0.008,-0.387 ± 0.020,± 0.20,
47 Tuc V69,29.54,16.84,none,0.8762 ± 0.0048,1.3148 ± 0.0051,4.143 ± 0.003,3.775 ± 0.003,0.292 ± 0.013,-0.71,,,0.56,none,0.8588 ± 0.0060,1.1616 ± 0.0062,4.242 ± 0.003,3.777 ± 0.003,0.193 ± 0.014,± 0.10,
47 Tuc E32,40.913,17.15,none,0.8617 ± 0.0047,1.1834 ± 0.0034,4.227 ± 0.002,3.780 ± 0.003,0.217 ± 0.013,-0.71,,,0.56,none,0.8268 ± 0.0045,1.0045 ± 0.0040,4.352 ± 0.003,3.775 ± 0.003,0.057 ± 0.015,± 0.10,
ASAS J045304-0700.4,1.622,11.24,K2_V,0.8338 ± 0.0036,0.848 ± 0.005,4.503 ± 0.005,3.726 ± 0.016,-0.278 ± 0.065,,,,0.63,K4_V,0.8280 ± 0.0040,0.833 ± 0.005,4.515 ± 0.005,3.708 ± 0.017,-0.365 ± 0.068,,
NGC 6362 V40,5.296,18.22,none,0.8337 ± 0.0063,1.3253 ± 0.0077,4.550 ± 0.005,3.789 ± 0.009,0.356 ± 0.035,-1.07,,,0.55,none,0.7947 ± 0.0048,0.997 ± 0.013,4.361 ± 0.011,3.785 ± 0.011,0.093 ± 0.046,± 0.05,
ASAS J212954-5620.1,0.702,11.93,none,0.833 ± 0.017,0.845 ± 0.012,4.506 ± 0.012,3.677 ± 0.014,-0.482 ± 0.057,,,,1.17,none,0.703 ± 0.013,0.718 ± 0.017,4.574 ± 0.020,3.625 ± 0.019,-0.840 ± 0.076,,
NGC 6362 V41,17.889,18.77,none,0.8215 ± 0.0058,1.0739 ± 0.0048,4.311 ± 0.004,3.787 ± 0.009,0.164 ± 0.033,-1.07,,,0.57,none,0.7280 ± 0.0047,0.7307 ± 0.0046,4.593 ± 0.006,3.759 ± 0.009,-0.281 ± 0.036,± 0.05,
M4 V65,2.293,17.03,none,0.8035 ± 0.0086,1.1470 ± 0.0104,4.221 ± 0.014,3.785 ± 0.008,0.210 ± 0.032,-1.2,,,0.9,none,0.6050 ± 0.0044,0.6110 ± 0.0092,4.645 ± 0.017,3.682 ± 0.011,-0.747 ± 0.046,± 0.1,
V1236 Tau,2.588,18.1,K7_V,0.787 ± 0.012,0.788 ± 0.015,4.54 ± 0.02,3.623 ± 0.020,-0.76 ± 0.10,,,,1.37,K7_V,0.770 ± 0.009,0.817 ± 0.010,4.50 ± 0.01,3.618 ± 0.025,-0.75 ± 0.09,,
M4 V66,8.111,16.84,none,0.7842 ± 0.0045,0.9347 ± 0.0048,4.388 ± 0.077,3.790 ± 0.007,0.053 ± 0.028,-1.2,,,0.88,none,0.7443 ± 0.0042,0.8298 ± 0.0053,4.469 ± 0.085,3.774 ± 0.008,-0.115 ± 0.031,± 0.1,
